player_name,champion,position,avgKills,avgDeaths,avgAssists,avgKDA,gamesPlayed
C9 Berserker,Vayne,BOTTOM,6.235294117647059,3.588235294117647,4.588235294117647,3.016393442622951,17
GG Stixxay,Xayah,BOTTOM,7.0588235294117645,4.352941176470588,6.529411764705882,3.121621621621622,17
C9 Berserker,Sivir,BOTTOM,5.875,4.25,8.0,3.264705882352941,16
GG Licorice,Rumble,TOP,5.866666666666666,2.6666666666666665,4.333333333333333,3.8249999999999997,15
C9 Blaber,Jarvan IV,JUNGLE,6.6,3.0,8.733333333333333,5.111111111111111,15
GG River,Kindred,JUNGLE,5.6,5.133333333333334,5.266666666666667,2.1168831168831166,15
GG River,Kha'Zix,JUNGLE,5.266666666666667,3.933333333333333,5.333333333333333,2.694915254237288,15
C9 EMENES,Zoe,MIDDLE,4.428571428571429,4.642857142857143,7.142857142857143,2.4923076923076923,14
GG River,Graves,JUNGLE,7.071428571428571,4.428571428571429,6.642857142857143,3.096774193548387,14
GG Gori,Ryze,MIDDLE,5.857142857142857,3.7142857142857144,6.928571428571429,3.442307692307692,14
C9 Blaber,Kha'Zix,JUNGLE,7.714285714285714,3.5,6.0,3.918367346938776,14
C9 Berserker,Jhin,BOTTOM,6.357142857142857,3.142857142857143,8.142857142857142,4.613636363636363,14
C9 Fudge,Renekton,TOP,6.0,3.4285714285714284,5.857142857142857,3.4583333333333335,14
C9 Fudge,K'Sante,TOP,4.857142857142857,4.071428571428571,5.857142857142857,2.6315789473684212,14
C9 Berserker,Senna,UTILITY,5.615384615384615,4.384615384615385,10.615384615384615,3.701754385964912,13
C9 Berserker,Varus,BOTTOM,6.230769230769231,5.769230769230769,6.076923076923077,2.1333333333333333,13
C9 Berserker,Gnar,TOP,3.076923076923077,5.0,3.0,1.2153846153846153,13
GG River,Nidalee,JUNGLE,8.615384615384615,3.923076923076923,7.923076923076923,4.215686274509805,13
C9 Blaber,Zac,JUNGLE,4.076923076923077,3.0,9.076923076923077,4.384615384615384,13
C9 Berserker,Jayce,TOP,5.230769230769231,7.923076923076923,4.6923076923076925,1.2524271844660193,13
GG Gori,Lucian,MIDDLE,7.461538461538462,4.230769230769231,5.769230769230769,3.127272727272727,13
C9 EMENES,Azir,MIDDLE,4.384615384615385,3.5384615384615383,4.0,2.3695652173913047,13
GG Licorice,Renekton,TOP,4.3076923076923075,4.153846153846154,7.153846153846154,2.759259259259259,13
GG Licorice,K'Sante,TOP,4.923076923076923,2.923076923076923,4.846153846153846,3.342105263157895,13
