game_urn,player_urn,team_urn,region,game_start_datetime,best_of,curr_game,player,team,champion,side,role,opp_player_urn,opp_player,opp_team_urn,opp_team,opp_champion,result,kills,deaths,assists,double_kills,triple_kills,quad_kills,penta_kills,first_blood,avg_mins_between_kills,avg_mins_between_deaths,solo_kills,iso_deaths,minion_kills,neutral_minion_kills,neutral_minion_kills_team_jungle,neutral_minion_kills_enemy_jungle,perc_in_mid_lane,num_recalls,total_damage_teamfights,avg_damage_per_teamfight,dmg_to_champs_per_min,dmg_shielded_on_team_per_min,dmg_healed_on_team_per_min,total_gold,gold_at_15m,gold_diff_at_15m,wards_placed,wards_killed,vision_score,jungle_prox,duo_prox,team_perid,player_perid,opp_player_perid,opp_team_urn_perid,upsert_at,gold_at_20m,gold_diff_at_20m
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:60e06c35-bf90-3929-9846-698630f55346,live:lol:riot:team:98926509885559666,LCS,6/30/2023 9:54 PM,1,1,Summit,TL,KSante,blue,top,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,Licorice,live:lol:riot:team:99294153824386385,GG,Poppy,0,1,3,2,0,0,0,0,0,,7.593575,0,1,284,0,0,0,0.023731215688475644,8,3855.0341796875,240.93963623046875,365.1063261819083,7.855795616761172,0,11624,5257,381,13,9,40.63007354736328,0.04342638888888889,,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:player:db3c8a17-e8a4-44f3-a29e-48b72bedb938,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:fada9354-bd3f-3893-8fa6-7f3ebe76baa4,live:lol:riot:team:98926509885559666,LCS,6/30/2023 9:54 PM,1,1,Pyosik,TL,Vi,blue,jng,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,live:lol:riot:team:99294153824386385,GG,Viego,0,0,6,4,0,0,0,0,0,,4.256153333333334,0,2,9,154.8000030517578,118.3000259399414,4,0.04477547505120476,8,4702.256530761719,293.8910331726074,293.4910119538766,0,0,9802,4992,-159,16,8,43.411529541015625,0.4058319444444445,,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:player:6863fb15-a6dc-4705-b539-b4a294d197e1,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:fbef5747-dbc3-38a6-933e-9a24c4c88395,live:lol:riot:team:98926509885559666,LCS,6/30/2023 9:54 PM,1,1,Haeri,TL,Ahri,blue,mid,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,Gori,live:lol:riot:team:99294153824386385,GG,Annie,0,5,3,2,0,0,0,0,0,4.094083333333334,14.633391666666666,0,1,261,1,0.5,0,0.3476494704403261,13,11936.49072265625,746.0306701660156,623.3312199136211,0,0,12190,5689,930,17,10,48.581336975097656,0.1527638888888889,,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:player:bb739190-fb04-4027-a2b0-5dbf1ef439dc,esports:player:479968d8-7d7c-44e2-9940-22b720d7cb1e,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:ed31da0c-2ac5-3966-928e-f99be89d682b,live:lol:riot:team:98926509885559666,LCS,6/30/2023 9:54 PM,1,1,Yeon,TL,Varus,blue,bot,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,Stixxay,live:lol:riot:team:99294153824386385,GG,Aphelios,0,2,2,1,0,0,0,0,0,5.85335,14.904416666666666,0,1,305,15.999998092651367,12.799999237060547,3.200000047683716,0.24546829065185116,10,3854.20556640625,240.88784790039062,447.85834192524635,0,0,12471,5170,53,13,10,35.50360870361328,0.1375125,,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:player:d8854768-ad90-4438-800e-bb0b63b64bd1,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:4eb8e5e1-f6d6-3b9e-9114-74a6b2cce9f0,live:lol:riot:team:98926509885559666,LCS,6/30/2023 9:54 PM,1,1,CoreJJ,TL,Renata,blue,sup,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,huhi,live:lol:riot:team:99294153824386385,GG,Rell,0,0,3,5,0,0,0,0,0,,7.814416666666666,0,2,19,4.75,0,0,0.09545681000771189,11,2775.3870239257812,173.46168899536133,220.74239961023008,43.53368645353709,24.933295993332543,7170,3136,-4,48,16,108.5467758178711,0.27491944444444444,0.4124791666666667,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,esports:player:095b14f6-9442-4118-a896-026e44bb7379,esports:player:cd2bc07a-142e-4f89-bb89-b48eff232125,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,live:lol:riot:team:99294153824386385,LCS,6/30/2023 9:54 PM,1,1,Licorice,GG,Poppy,red,top,live:lol:riot:player:60e06c35-bf90-3929-9846-698630f55346,Summit,live:lol:riot:team:98926509885559666,TL,KSante,1,3,0,7,0,0,0,0,0,7.452208333333333,,1,0,275,8,4,0,0.05534962691298931,10,6417.65478515625,401.1034240722656,533.4140828418156,0,0,12914,4876,-381,16,7,35.96358871459961,0.056949999999999994,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,esports:player:db3c8a17-e8a4-44f3-a29e-48b72bedb938,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,live:lol:riot:team:99294153824386385,LCS,6/30/2023 9:54 PM,1,1,Gori,GG,Annie,red,mid,live:lol:riot:player:fbef5747-dbc3-38a6-933e-9a24c4c88395,Haeri,live:lol:riot:team:98926509885559666,TL,Ahri,1,4,2,8,0,0,0,0,0,5.262616666666666,11.019583333333333,0,2,262,0,0,0,0.3734672252947699,12,5296.5244140625,331.03277587890625,621.8023979680966,85.67663106356011,0,12478,4759,-930,10,6,30.184499740600586,0.25843194444444445,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:479968d8-7d7c-44e2-9940-22b720d7cb1e,esports:player:bb739190-fb04-4027-a2b0-5dbf1ef439dc,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,live:lol:riot:team:99294153824386385,LCS,6/30/2023 9:54 PM,1,1,Stixxay,GG,Aphelios,red,bot,live:lol:riot:player:ed31da0c-2ac5-3966-928e-f99be89d682b,Yeon,live:lol:riot:team:98926509885559666,TL,Varus,1,3,1,5,0,0,0,0,0,7.604383333333334,,0,0,273,27.999996185302734,18.499998092651367,4,0.2349654984733564,11,1199.8807373046875,74.99254608154297,461.01370904640345,0,0,14347,5117,-53,15,11,43.881072998046875,0.060102777777777776,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,esports:player:d8854768-ad90-4438-800e-bb0b63b64bd1,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3213927,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,live:lol:riot:team:99294153824386385,LCS,6/30/2023 9:54 PM,1,1,huhi,GG,Rell,red,sup,live:lol:riot:player:4eb8e5e1-f6d6-3b9e-9114-74a6b2cce9f0,CoreJJ,live:lol:riot:team:98926509885559666,TL,Renata,1,1,5,10,0,0,0,0,0,,3.8735541666666666,1,0,38,0,0,0,0.09717311339778714,13,3235.8723754882812,202.24202346801758,167.07866381426064,0,0,7860,3140,4,65,12,116.3427963256836,0.24757916666666668,0.3263152777777778,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:cd2bc07a-142e-4f89-bb89-b48eff232125,esports:player:095b14f6-9442-4118-a896-026e44bb7379,esports:team:0f69b320-f4c5-47f2-a42a-a1b2db6d0b3b,7/1/2023 1:04 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:b36179da-3e05-3a7b-9383-2e6e6b193306,live:lol:riot:team:106972778172351142,LCS,6/28/2023 11:08 PM,1,1,Dhokla,NRG,Renekton,blue,top,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,Licorice,live:lol:riot:team:99294153824386385,GG,Jax,1,5,5,8,0,0,0,0,0,8.958120833333334,8.096925,1,2,348,24.999998092651367,14.5,2,0.11035864292529217,15,4366.83447265625,155.9583740234375,485.50384629727847,0,0,19618,6465,1272,7,16,43.13518524169922,0.25282083333333333,,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:player:f9c8ae26-66f2-4d3a-9067-a1474a66a492,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:e50d1e40-0012-37d0-b925-fa75f0f96b3f,live:lol:riot:team:106972778172351142,LCS,6/28/2023 11:08 PM,1,1,Contractz,NRG,Ivern,blue,jng,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,River,live:lol:riot:team:99294153824386385,GG,Maokai,1,3,0,17,1,0,0,0,0,17.386941666666665,,0,0,33,203.99986267089844,133.5000457763672,38.499996185302734,0.11497270468668135,12,3365.73974609375,120.20499093191964,346.09990065717506,644.1461282195777,93.32399253530347,18240,5343,1060,8,24,73.23565673828125,0.5903305555555556,,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:player:6f16f13e-fa27-418b-9156-9204bd0f22c4,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:84b21685-d98c-3d7a-b447-80ad5421367f,live:lol:riot:team:106972778172351142,LCS,6/28/2023 11:08 PM,1,1,Palafox,NRG,Jayce,blue,mid,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,Gori,live:lol:riot:team:99294153824386385,GG,Azir,1,5,1,11,0,0,0,0,0,8.180766666666667,,0,0,352,42.400001525878906,20.899999618530273,4,0.30096716367434295,16,5275.91796875,188.42564174107142,784.1599212301521,0,0,21784,5354,274,34,11,86.367431640625,0.3042125,,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:player:b7183c05-df1c-431c-a528-2ed388bcedf7,esports:player:479968d8-7d7c-44e2-9940-22b720d7cb1e,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:b3b1b929-80c7-328f-9ff3-031e8ab3a74d,live:lol:riot:team:106972778172351142,LCS,6/28/2023 11:08 PM,1,1,FBI,NRG,Kaisa,blue,bot,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,Stixxay,live:lol:riot:team:99294153824386385,GG,Tristana,1,6,3,8,2,0,0,0,0,5.544913333333334,14.133516666666667,0,0,466,29.59999656677246,12.799999237060547,4.800000190734863,0.24779496396877293,17,6554.74658203125,234.09809221540178,895.5585521845062,0,0,23273,5225,-946,25,6,42.28037643432617,0.10832222222222222,,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:player:5025441e-ebc7-4167-8aa5-e113af77ecda,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:19d808be-6331-357b-a216-43371c2c4262,live:lol:riot:team:106972778172351142,LCS,6/28/2023 11:08 PM,1,1,IgNar,NRG,Rell,blue,sup,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,huhi,live:lol:riot:team:99294153824386385,GG,Nautilus,1,3,4,14,0,0,0,0,1,14.355433333333334,10.083216666666667,0,0,35,1,1,0,0.11935292011060752,21,288.57080078125,10.306100027901786,126.27370722250306,0,0,12026,3750,594,120,18,204.532958984375,0.28192083333333334,0.28328055555555554,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,esports:player:92f9f74c-38d0-4b0b-a8cc-a17f84b2a6a1,esports:player:cd2bc07a-142e-4f89-bb89-b48eff232125,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:5b83854f-e384-3428-ba34-6e138b1619c7,live:lol:riot:team:99294153824386385,LCS,6/28/2023 11:08 PM,1,1,Licorice,GG,Jax,red,top,live:lol:riot:player:b36179da-3e05-3a7b-9383-2e6e6b193306,Dhokla,live:lol:riot:team:106972778172351142,NRG,Renekton,0,1,7,6,0,0,0,0,0,,7.136630555555556,0,3,395,39.25,22.5,8,0.06945044474991455,13,3418.36376953125,122.08442034040179,346.0287343164716,0,0,19755,5193,-1272,26,10,65.60017395019531,0.07503055555555556,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:112a2549-b3ca-4094-91f1-d5092386e9ba,esports:player:f9c8ae26-66f2-4d3a-9067-a1474a66a492,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:6d68f827-0469-30af-878b-3c6c718e8d5a,live:lol:riot:team:99294153824386385,LCS,6/28/2023 11:08 PM,1,1,River,GG,Maokai,red,jng,live:lol:riot:player:e50d1e40-0012-37d0-b925-fa75f0f96b3f,Contractz,live:lol:riot:team:106972778172351142,NRG,Ivern,0,2,5,10,0,0,0,0,0,26.076066666666666,8.7565375,0,1,34,151.34994506835938,101.800048828125,5.800000190734863,0.07437579762454687,13,7000.4195556640625,250.01498413085938,591.012413709517,0,58.973486718206146,15962,4283,-1060,16,17,76.2302017211914,0.4332625,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:654a72de-a5ee-44b9-9aa9-149ddd54edca,esports:player:6f16f13e-fa27-418b-9156-9204bd0f22c4,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:f71f63d9-8116-3f70-8f1d-473f68f07653,live:lol:riot:team:99294153824386385,LCS,6/28/2023 11:08 PM,1,1,Gori,GG,Azir,red,mid,live:lol:riot:player:84b21685-d98c-3d7a-b447-80ad5421367f,Palafox,live:lol:riot:team:106972778172351142,NRG,Jayce,0,4,3,6,0,0,0,0,0,3.36085,22.592391666666668,0,0,418,19.999998092651367,12,4,0.35510819668053833,19,902.321533203125,32.22576904296875,803.9295577535055,0,0,20136,5080,-274,16,10,39.45618438720703,0.22221527777777778,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:479968d8-7d7c-44e2-9940-22b720d7cb1e,esports:player:b7183c05-df1c-431c-a528-2ed388bcedf7,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:da579c1d-57b1-3e2e-824c-f6ee9ada19dc,live:lol:riot:team:99294153824386385,LCS,6/28/2023 11:08 PM,1,1,Stixxay,GG,Tristana,red,bot,live:lol:riot:player:b3b1b929-80c7-328f-9ff3-031e8ab3a74d,FBI,live:lol:riot:team:106972778172351142,NRG,Kaisa,0,6,2,4,1,1,0,0,0,6.941353333333334,18.648983333333334,0,2,494,54.399993896484375,40.399993896484375,2,0.2867998394669607,14,1049.94482421875,37.49802943638393,635.8373802499419,0,0,24293,6171,946,16,22,66.25175476074219,0.1277986111111111,,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:c5cf45d3-5fd9-4ce8-8163-e5755a5291c2,esports:player:5025441e-ebc7-4167-8aa5-e113af77ecda,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/29/2023 5:05 AM,,
live:lol:riot:map:esportstmnt02-3214284,live:lol:riot:player:37643ce5-d0ef-31f1-a000-ac08512edb29,live:lol:riot:team:99294153824386385,LCS,6/28/2023 11:08 PM,1,1,huhi,GG,Nautilus,red,sup,live:lol:riot:player:19d808be-6331-357b-a216-43371c2c4262,IgNar,live:lol:riot:team:106972778172351142,NRG,Rell,0,0,5,8,0,0,0,0,0,,7.090995833333333,0,0,44,1,0,1,0.08920519056046738,21,191.400146484375,6.835719517299107,156.25201353092783,0,0,10355,3156,-594,114,18,198.48683166503906,0.29433750000000003,0.3193944444444444,esports:team:44f6a80f-b0b7-432e-b6fe-1127ed555938,esports:player:cd2bc07a-142e-4f89-bb89-b48eff232125,esports:player:92f9f74c-38d0-4b0b-a8cc-a17f84b2a6a1,esports:team:b7aca248-a6bf-41ce-952d-47f50ef63e52,6/29/2023 5:05 AM,,
